specification,term,estimate,se_cluster,p_cluster,ci95_lo,ci95_hi,N,G,weight,cluster,estimator,dropped_economy
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.017422857593611497,0.004925493939568102,0.0004042688440494623,-0.027076825715164975,-0.007768889472058017,95718,92,w_equal,economy,WLS LPM,XKX
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.0172552840570842,0.004956242904887933,0.0004985670591625878,-0.02696952015066455,-0.007541047963503852,95718,92,w_equal,economy,WLS LPM,ZAF
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.017346580555740163,0.00500518760703871,0.0005288129957451517,-0.027156748265536032,-0.007536412845944291,95728,92,w_equal,economy,WLS LPM,ZMB
ROBUSTNESS_LOO_2021,dig_x_lowcov,-0.017667468631472873,0.004921096843109427,0.00033048957770039864,-0.027312818443967348,-0.008022118818978397,95711,92,w_equal,economy,WLS LPM,ZWE
ROBUSTNESS_LOO_2024,dig_x_lowcov,-0.016194397650590307,0.005991608699236068,0.0068748519833326345,-0.027937950701093,-0.004450844600087614,96850,92,w_equal,economy,WLS LPM,ALB
ROBUSTNESS_LOO_2024,dig_x_lowcov,-0.017376950024384934,0.006040222741993582,0.004016379838132114,-0.029215786598692353,-0.005538113450077514,96852,92,w_equal,economy,WLS LPM,ARG
ROBUSTNESS_LOO_2024,dig_x_lowcov,-0.01499455943901031,0.006029923252320507,0.012893712210592285,-0.026813209013558503,-0.0031759098644621175,96851,92,w_equal,economy,WLS LPM,ARM
ROBUSTNESS_LOO_2024,dig_x_lowcov,-0.01595414086656942,0.006004989359415694,0.007888291025968682,-0.02772392001102418,-0.004184361722114659,96852,92,w_equal,economy,WLS LPM,AZE
ROBUSTNESS_LOO_2024,dig_x_lowcov,-0.01612440986936609,0.006114925240212448,0.008366896436713454,-0.028109663340182486,-0.004139156398549691,96847,92,w_equal,economy,WLS LPM,BEN
ROBUSTNESS_LOO_2024,dig_x_lowcov,-0.015995989959021864,0.006106982961643212,0.008811171295893443,-0.027965676563842558,-0.00402630335420117,96847,92,w_equal,economy,WLS LPM,BFA
ROBUSTNESS_LOO_2024,dig_x_lowcov,-0.015595344286287576,0.006060358031976232,0.010072304411136934,-0.02747364602896099,-0.0037170425436141626,96848,92,w_equal,economy,WLS LPM,BGD
ROBUSTNESS_LOO_2024,dig_x_lowcov,-0.01660290838179424,0.006021572775519958,0.005829193289638855,-0.02840519102181336,-0.004800625741775123,96853,92,w_equal,economy,WLS LPM,BGR
ROBUSTNESS_LOO_2024,dig_x_lowcov,-0.016098193494052178,0.0059794916233006,0.007097502651477153,-0.027817997075721357,-0.004378389912383001,96865,92,w_equal,economy,WLS LPM,BIH
ROBUSTNESS_LOO_2024,dig_x_lowcov,-0.016251608550975995,0.0059878160793136095,0.006645352475750553,-0.02798772806643067,-0.0045154890355213195,96860,92,w_equal,economy,WLS LPM,BOL
ROBUSTNESS_LOO_2024,dig_x_lowcov,-0.015771422729924982,0.006069091816706747,0.009359216544760143,-0.027666842690670206,-0.003876002769179758,96872,92,w_equal,economy,WLS LPM,BRA
ROBUSTNESS_LOO_2024,dig_x_lowcov,-0.016138068359159846,0.0059912929200954,0.007068770741283322,-0.02788100248254683,-0.004395134235772863,96852,92,w_equal,economy,WLS LPM,BWA
ROBUSTNESS_LOO_2024,dig_x_lowcov,-0.01596237215075193,0.006094083951600412,0.008810457057140151,-0.027906776695888737,-0.004017967605615123,93838,92,w_equal,economy,WLS LPM,CHN
ROBUSTNESS_LOO_2024,dig_x_lowcov,-0.01571468019040779,0.005995143324625424,0.008761181709342512,-0.02746516110667362,-0.003964199274141957,96851,92,w_equal,economy,WLS LPM,CIV
ROBUSTNESS_LOO_2024,dig_x_lowcov,-0.016007404529746146,0.005975664535130073,0.00738941044230257,-0.02771970701860109,-0.004295102040891202,96853,92,w_equal,economy,WLS LPM,CMR
ROBUSTNESS_LOO_2024,dig_x_lowcov,-0.015682522087268717,0.0060926806133435,0.010053207647073589,-0.027624176089421977,-0.0037408680851154577,96848,92,w_equal,economy,WLS LPM,COD
